model,accuracy,precision,recall,f1,auc,confusion_matrix
manualrf,0.8942321581350904,0.914206329749355,0.870120779119768,0.8916189413519452,0.9617994801166199,"[[82650, 7349], [11689, 78310]]"
lstm,0.9925332503694485,0.9958943494165949,0.9891443238258203,0.9925078600575289,0.9993999212946214,"[[89632, 367], [977, 89022]]"
